2018-09-25 20:27:16,160 - jnordin - INFO - 2018-09-23: Skipping ZTF18abgzylm, never reached limit 19.5
2018-09-25 20:27:16,160 - jnordin - INFO - 2018-09-23: Skipping ZTF18abgzylm, never reached limit 19.5
2018-09-25 20:27:16,171 - jnordin - INFO - 2018-09-23: Skipping ZTF18abmiqbv, age 35.95129630016163 longer than limit 30
2018-09-25 20:27:16,171 - jnordin - INFO - 2018-09-23: Skipping ZTF18abmiqbv, age 35.95129630016163 longer than limit 30
2018-09-25 20:27:16,188 - jnordin - INFO - 2018-09-23: Skipping ZTF18aarpdcg, never reached limit 19.5
2018-09-25 20:27:16,188 - jnordin - INFO - 2018-09-23: Skipping ZTF18aarpdcg, never reached limit 19.5
2018-09-25 20:27:16,207 - jnordin - INFO - 2018-09-23: Skipping ZTF18aakvxqj, age 31.018738399725407 longer than limit 30
2018-09-25 20:27:16,207 - jnordin - INFO - 2018-09-23: Skipping ZTF18aakvxqj, age 31.018738399725407 longer than limit 30
2018-09-25 20:27:16,210 - jnordin - INFO - 2018-09-23: Skipping ZTF18abtnwpa, never reached limit 19.5
2018-09-25 20:27:16,210 - jnordin - INFO - 2018-09-23: Skipping ZTF18abtnwpa, never reached limit 19.5
2018-09-25 20:27:16,235 - jnordin - INFO - 2018-09-23: Skipping ZTF18abxishs, less than 5 detections
2018-09-25 20:27:16,235 - jnordin - INFO - 2018-09-23: Skipping ZTF18abxishs, less than 5 detections
2018-09-25 20:27:16,252 - jnordin - INFO - 2018-09-23: Skipping ZTF18aazydub, never reached limit 19.5
2018-09-25 20:27:16,252 - jnordin - INFO - 2018-09-23: Skipping ZTF18aazydub, never reached limit 19.5
2018-09-25 20:27:16,262 - jnordin - INFO - 2018-09-23: Skipping ZTF18abmsmnc, age 40.04186340002343 longer than limit 30
2018-09-25 20:27:16,262 - jnordin - INFO - 2018-09-23: Skipping ZTF18abmsmnc, age 40.04186340002343 longer than limit 30
