2018-11-06 14:03:22,550 - jnordin - INFO - Cutting down alert info to subset with nrefframes keyword
2018-11-06 14:04:01,464 - jnordin - INFO - There were 565 candidates reported 2018-11-06
2018-11-06 14:04:53,336 - jnordin - INFO - Out of these 72 already have Marshal type and will be skipped.
2018-11-06 14:04:58,864 - jnordin - INFO - 70 have a catalog z larger than 0.1  and will be skipped.
2018-11-06 14:05:04,170 - jnordin - INFO - Detected 11 already saved candidates and 412 new
2018-11-06 14:05:23,231 - jnordin - INFO - 2018-11-06: Skipping ZTF17aaaakxb, less than 5 detections
2018-11-06 14:05:23,235 - jnordin - INFO - 2018-11-06: Skipping ZTF17aaaazvg, never reached limit 19.5
2018-11-06 14:05:23,240 - jnordin - INFO - 2018-11-06: Skipping ZTF17aaabonq, less than 5 detections
2018-11-06 14:05:23,242 - jnordin - INFO - 2018-11-06: Skipping ZTF17aaatlgs, never reached limit 19.5
2018-11-06 14:05:23,248 - jnordin - INFO - 2018-11-06: Skipping ZTF18aaaapyn, less than 5 detections
2018-11-06 14:05:23,252 - jnordin - INFO - 2018-11-06: Skipping ZTF18aaalogs, never reached limit 19.5
2018-11-06 14:05:23,257 - jnordin - INFO - 2018-11-06: Skipping ZTF18aaarwhm, less than 5 detections
2018-11-06 14:05:23,261 - jnordin - INFO - 2018-11-06: Skipping ZTF18aakchfv, less than 5 detections
2018-11-06 14:05:23,263 - jnordin - INFO - 2018-11-06: Skipping ZTF18aaporxf, less than 5 detections
2018-11-06 14:05:23,266 - jnordin - INFO - 2018-11-06: Skipping ZTF18aaqkjuw, less than 5 detections
2018-11-06 14:05:23,268 - jnordin - INFO - 2018-11-06: Skipping ZTF18aawrmvo, less than 5 detections
2018-11-06 14:05:23,271 - jnordin - INFO - 2018-11-06: Skipping ZTF18aaxvbau, less than 5 detections
2018-11-06 14:05:23,275 - jnordin - INFO - 2018-11-06: Skipping ZTF18aayjflv, less than 5 detections
2018-11-06 14:05:23,277 - jnordin - INFO - 2018-11-06: Skipping ZTF18aayvgin, less than 5 detections
2018-11-06 14:05:23,279 - jnordin - INFO - 2018-11-06: Skipping ZTF18aazfdxy, less than 5 detections
2018-11-06 14:05:23,281 - jnordin - INFO - 2018-11-06: Skipping ZTF18aazgacr, never reached limit 19.5
2018-11-06 14:05:23,283 - jnordin - INFO - 2018-11-06: Skipping ZTF18abaehcg, less than 5 detections
2018-11-06 14:05:23,286 - jnordin - INFO - 2018-11-06: Skipping ZTF18abbrizh, less than 5 detections
2018-11-06 14:05:23,294 - jnordin - INFO - 2018-11-06: Skipping ZTF18abctten, less than 5 detections
2018-11-06 14:05:23,295 - jnordin - INFO - 2018-11-06: Skipping ZTF18abdhxda, less than 5 detections
2018-11-06 14:05:23,300 - jnordin - INFO - 2018-11-06: Skipping ZTF18abecjrr, less than 5 detections
2018-11-06 14:05:23,302 - jnordin - INFO - 2018-11-06: Skipping ZTF18abgubgi, less than 5 detections
2018-11-06 14:05:23,304 - jnordin - INFO - 2018-11-06: Skipping ZTF18abgybta, less than 5 detections
2018-11-06 14:05:23,306 - jnordin - INFO - 2018-11-06: Skipping ZTF18abjaplb, less than 5 detections
2018-11-06 14:05:23,309 - jnordin - INFO - 2018-11-06: Skipping ZTF18abmdlnv, less than 5 detections
2018-11-06 14:05:23,311 - jnordin - INFO - 2018-11-06: Skipping ZTF18abmenfr, less than 5 detections
2018-11-06 14:05:23,314 - jnordin - INFO - 2018-11-06: Skipping ZTF18abmexrv, less than 5 detections
2018-11-06 14:05:23,321 - jnordin - INFO - 2018-11-06: Skipping ZTF18abmsmnc, only 1 filters
2018-11-06 14:05:23,324 - jnordin - INFO - 2018-11-06: Skipping ZTF18abmwfxd, less than 5 detections
2018-11-06 14:05:23,328 - jnordin - INFO - 2018-11-06: Skipping ZTF18abmwssp, less than 5 detections
2018-11-06 14:05:23,332 - jnordin - INFO - 2018-11-06: Skipping ZTF18abotssb, only 1 filters
2018-11-06 14:05:23,336 - jnordin - INFO - 2018-11-06: Skipping ZTF18abpevmd, never reached limit 19.5
2018-11-06 14:05:23,339 - jnordin - INFO - 2018-11-06: Skipping ZTF18abqcuir, never reached limit 19.5
2018-11-06 14:05:23,343 - jnordin - INFO - 2018-11-06: Skipping ZTF18abryyjs, less than 5 detections
2018-11-06 14:05:23,346 - jnordin - INFO - 2018-11-06: Skipping ZTF18absctbc, never reached limit 19.5
2018-11-06 14:05:23,349 - jnordin - INFO - 2018-11-06: Skipping ZTF18abszecm, never reached limit 19.5
2018-11-06 14:05:23,352 - jnordin - INFO - 2018-11-06: Skipping ZTF18abtnfnq, never reached limit 19.5
2018-11-06 14:05:23,359 - jnordin - INFO - 2018-11-06: Skipping ZTF18abuakbp, never reached limit 19.5
2018-11-06 14:05:23,362 - jnordin - INFO - 2018-11-06: Skipping ZTF18abuiuco, less than 5 detections
2018-11-06 14:05:23,366 - jnordin - INFO - 2018-11-06: Skipping ZTF18abuoave, never reached limit 19.5
2018-11-06 14:05:23,368 - jnordin - INFO - 2018-11-06: Skipping ZTF18abvoydx, never reached limit 19.5
2018-11-06 14:05:23,371 - jnordin - INFO - 2018-11-06: Skipping ZTF18abwsfdy, never reached limit 19.5
2018-11-06 14:05:23,375 - jnordin - INFO - 2018-11-06: Skipping ZTF18abxdker, less than 5 detections
2018-11-06 14:05:23,379 - jnordin - INFO - 2018-11-06: Skipping ZTF18abyaxyu, less than 5 detections
2018-11-06 14:05:23,383 - jnordin - INFO - 2018-11-06: Skipping ZTF18abybyqw, less than 5 detections
2018-11-06 14:05:23,387 - jnordin - INFO - 2018-11-06: Skipping ZTF18abyldss, never reached limit 19.5
2018-11-06 14:05:23,391 - jnordin - INFO - 2018-11-06: Skipping ZTF18acaeous, less than 5 detections
2018-11-06 14:05:23,394 - jnordin - INFO - 2018-11-06: Skipping ZTF18acahvwm, less than 5 detections
2018-11-06 14:05:23,396 - jnordin - INFO - 2018-11-06: Skipping ZTF18acajohy, never reached limit 19.5
2018-11-06 14:05:23,403 - jnordin - INFO - 2018-11-06: Skipping ZTF18acajsak, never reached limit 19.5
2018-11-06 14:05:23,415 - jnordin - INFO - 2018-11-06: Skipping ZTF18acaksoq, only 1 filters
2018-11-06 14:05:23,421 - jnordin - INFO - 2018-11-06: Skipping ZTF18acapxrt, less than 5 detections
2018-11-06 14:05:23,430 - jnordin - INFO - 2018-11-06: Skipping ZTF18acaqcdg, less than 5 detections
2018-11-06 14:05:23,432 - jnordin - INFO - 2018-11-06: Skipping ZTF18acarsme, never reached limit 19.5
2018-11-06 14:05:23,434 - jnordin - INFO - 2018-11-06: Skipping ZTF18acarupz, less than 5 detections
2018-11-06 14:05:23,436 - jnordin - INFO - 2018-11-06: Skipping ZTF18acasuxc, less than 5 detections
2018-11-06 14:05:23,438 - jnordin - INFO - 2018-11-06: Skipping ZTF18acatdkk, never reached limit 19.5
2018-11-06 14:05:23,440 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbudqz, less than 5 detections
2018-11-06 14:05:23,448 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbuemc, less than 5 detections
2018-11-06 14:05:23,450 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbuvpb, less than 5 detections
2018-11-06 14:05:23,452 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbuwcq, less than 5 detections
2018-11-06 14:05:23,453 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbuyhf, never reached limit 19.5
2018-11-06 14:05:23,457 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbuzrj, never reached limit 19.5
2018-11-06 14:05:23,463 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbvemf, less than 5 detections
2018-11-06 14:05:23,467 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbvgqw, less than 5 detections
2018-11-06 14:05:23,470 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbvwfl, less than 5 detections
2018-11-06 14:05:23,474 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbvwri, never reached limit 19.5
2018-11-06 14:05:23,476 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbwabp, less than 5 detections
2018-11-06 14:05:23,482 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbwagb, less than 5 detections
2018-11-06 14:05:23,486 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbwasc, less than 5 detections
2018-11-06 14:05:23,491 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbwasl, less than 5 detections
2018-11-06 14:05:23,495 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbwayo, less than 5 detections
2018-11-06 14:05:23,499 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbwazl, less than 5 detections
2018-11-06 14:05:23,502 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbwele, less than 5 detections
2018-11-06 14:05:23,509 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbwgdk, less than 5 detections
2018-11-06 14:05:23,517 - jnordin - INFO - 2018-11-06: Skipping ZTF18acbwiic, less than 5 detections
