2018-09-29 20:53:07,489 - jnordin - INFO - Cutting down alert info to subset with nrefframes keyword
2018-09-29 20:53:09,598 - jnordin - INFO - There were 356 candidates reported 2018-09-29
2018-09-29 20:53:15,278 - jnordin - INFO - Out of these 76 already have Marshal type and will be skipped.
2018-09-29 20:53:17,772 - jnordin - INFO - 43 have a catalog z larger than 0.1  and will be skipped.
2018-09-29 20:53:22,869 - jnordin - INFO - Detected 28 already saved candidates and 209 new
2018-09-29 20:53:34,337 - jnordin - INFO - 2018-09-29: Skipping ZTF18abuetml, never reached limit 19.5
2018-09-29 20:53:34,340 - jnordin - INFO - 2018-09-29: Skipping ZTF18abklshn, never reached limit 19.5
2018-09-29 20:53:34,345 - jnordin - INFO - 2018-09-29: Skipping ZTF18aaoiaac, less than 5 detections
2018-09-29 20:53:34,355 - jnordin - INFO - 2018-09-29: Skipping ZTF18absrdom, never reached limit 19.5
2018-09-29 20:53:34,361 - jnordin - INFO - 2018-09-29: Skipping ZTF18aaqzhib, only 1 filters
2018-09-29 20:53:34,365 - jnordin - INFO - 2018-09-29: Skipping ZTF18abehrdw, less than 5 detections
2018-09-29 20:53:34,368 - jnordin - INFO - 2018-09-29: Skipping ZTF18absmsbm, never reached limit 19.5
2018-09-29 20:53:34,376 - jnordin - INFO - 2018-09-29: Skipping ZTF18aawrbuc, never reached limit 19.5
2018-09-29 20:53:34,383 - jnordin - INFO - 2018-09-29: Skipping ZTF18abmsngt, only 1 filters
2018-09-29 20:53:34,386 - jnordin - INFO - 2018-09-29: Skipping ZTF18aatzuep, never reached limit 19.5
2018-09-29 20:53:34,396 - jnordin - INFO - 2018-09-29: Skipping ZTF18aaowwgf, less than 5 detections
2018-09-29 20:53:34,405 - jnordin - INFO - 2018-09-29: Skipping ZTF18aamhnti, only 1 filters
2018-09-29 20:53:34,408 - jnordin - INFO - 2018-09-29: Skipping ZTF18aarrqrn, less than 5 detections
2018-09-29 20:53:34,411 - jnordin - INFO - 2018-09-29: Skipping ZTF18abihisa, never reached limit 19.5
2018-09-29 20:53:34,421 - jnordin - INFO - 2018-09-29: Skipping ZTF18aaimsgg, only 1 filters
2018-09-29 20:53:34,425 - jnordin - INFO - 2018-09-29: Skipping ZTF18abihjwv, never reached limit 19.5
2018-09-29 20:53:34,429 - jnordin - INFO - 2018-09-29: Skipping ZTF18abdklhh, never reached limit 19.5
2018-09-29 20:53:34,434 - jnordin - INFO - 2018-09-29: Skipping ZTF18aartdln, never reached limit 19.5
2018-09-29 20:53:34,439 - jnordin - INFO - 2018-09-29: Skipping ZTF18abuluko, never reached limit 19.5
2018-09-29 20:53:34,444 - jnordin - INFO - 2018-09-29: Skipping ZTF18abuyxsw, never reached limit 19.5
2018-09-29 20:53:34,449 - jnordin - INFO - 2018-09-29: Skipping ZTF18aaolhsy, never reached limit 19.5
2018-09-29 20:53:34,454 - jnordin - INFO - 2018-09-29: Skipping ZTF18abgyjlk, never reached limit 19.5
2018-09-29 20:53:34,462 - jnordin - INFO - 2018-09-29: Skipping ZTF18aazydub, never reached limit 19.5
2018-09-29 20:53:34,467 - jnordin - INFO - 2018-09-29: Skipping ZTF18abesery, less than 5 detections
2018-09-29 20:53:34,471 - jnordin - INFO - 2018-09-29: Skipping ZTF18aasjdpy, never reached limit 19.5
2018-09-29 20:53:34,485 - jnordin - INFO - 2018-09-29: Skipping ZTF18abmezaq, only 1 filters
2018-09-29 20:53:34,492 - jnordin - INFO - 2018-09-29: Skipping ZTF18abukiix, never reached limit 19.5
2018-09-29 20:53:34,503 - jnordin - INFO - 2018-09-29: Skipping ZTF18aavtant, never reached limit 19.5
2018-09-29 20:53:34,508 - jnordin - INFO - 2018-09-29: Skipping ZTF18abltbxa, never reached limit 19.5
2018-09-29 20:53:34,515 - jnordin - INFO - 2018-09-29: Skipping ZTF18abeiqpq, never reached limit 19.5
2018-09-29 20:53:34,522 - jnordin - INFO - 2018-09-29: Skipping ZTF18aaptcqq, less than 5 detections
2018-09-29 20:53:34,532 - jnordin - INFO - 2018-09-29: Skipping ZTF18abtobub, never reached limit 19.5
2018-09-29 20:53:34,554 - jnordin - INFO - 2018-09-29: Skipping ZTF18aburrut, never reached limit 19.5
2018-09-29 20:53:34,566 - jnordin - INFO - 2018-09-29: Skipping ZTF18abfmzaf, never reached limit 19.5
