2018-09-27 15:46:07,152 - jnordin - INFO - Cutting down alert info to subset with nrefframes keyword
2018-09-27 15:46:13,268 - jnordin - INFO - There were 337 candidates reported 2018-09-27
2018-09-27 15:46:17,371 - jnordin - INFO - Out of these 82 already have Marshal type and will be skipped.
2018-09-27 15:46:23,055 - jnordin - INFO - 27 have a catalog z larger than 0.1  and will be skipped.
2018-09-27 15:46:26,838 - jnordin - INFO - Detected 27 already saved candidates and 201 new
2018-09-27 15:46:32,219 - jnordin - INFO - 2018-09-27: Skipping ZTF18aaoiaac, less than 5 detections
2018-09-27 15:46:32,233 - jnordin - INFO - 2018-09-27: Skipping ZTF18abmsngt, only 1 filters
2018-09-27 15:46:32,240 - jnordin - INFO - 2018-09-27: Skipping ZTF18abecjrr, only 1 filters
2018-09-27 15:46:32,247 - jnordin - INFO - 2018-09-27: Skipping ZTF18aaqzhib, only 1 filters
2018-09-27 15:46:32,253 - jnordin - INFO - 2018-09-27: Skipping ZTF18abehrdw, less than 5 detections
2018-09-27 15:46:32,258 - jnordin - INFO - 2018-09-27: Skipping ZTF18aamofne, never reached limit 19.5
2018-09-27 15:46:32,265 - jnordin - INFO - 2018-09-27: Skipping ZTF18abtnfnq, only 1 filters
2018-09-27 15:46:32,269 - jnordin - INFO - 2018-09-27: Skipping ZTF18abtlrrt, never reached limit 19.5
2018-09-27 15:46:32,287 - jnordin - INFO - 2018-09-27: Skipping ZTF18abrwvkr, never reached limit 19.5
2018-09-27 15:46:32,291 - jnordin - INFO - 2018-09-27: Skipping ZTF18aawrbuc, never reached limit 19.5
2018-09-27 15:46:32,303 - jnordin - INFO - 2018-09-27: Skipping ZTF18abimrqx, never reached limit 19.5
2018-09-27 15:46:32,312 - jnordin - INFO - 2018-09-27: Skipping ZTF18abaaeip, never reached limit 19.5
2018-09-27 15:46:32,322 - jnordin - INFO - 2018-09-27: Skipping ZTF18abnblhi, less than 5 detections
2018-09-27 15:46:32,333 - jnordin - INFO - 2018-09-27: Skipping ZTF18aaowwgf, less than 5 detections
2018-09-27 15:46:32,341 - jnordin - INFO - 2018-09-27: Skipping ZTF17aaafiwn, only 1 filters
2018-09-27 15:46:32,345 - jnordin - INFO - 2018-09-27: Skipping ZTF18abuksoh, never reached limit 19.5
2018-09-27 15:46:32,350 - jnordin - INFO - 2018-09-27: Skipping ZTF18abkmfaj, never reached limit 19.5
2018-09-27 15:46:32,361 - jnordin - INFO - 2018-09-27: Skipping ZTF18aaimsgg, only 1 filters
2018-09-27 15:46:32,381 - jnordin - INFO - 2018-09-27: Skipping ZTF18aamhnti, only 1 filters
